Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio,date,lat,lon,DayNight
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200807\20200807_211602.wav,2/27/23 14:58,HMS,Unknown,8/8/2020 0:02:26.8,8/8/2020 0:02:27.5,NA,NA,NA,NA,NA,NA,No HMS vocalizations 8/07/2020,NA,NA,2020-08-08,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200808\20200808_083157.wav,2/28/23 9:15,Anthro,Airplane,8/8/2020 10:47:26.0,8/8/2020 10:47:39.3,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-08-08,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200808\20200808_230721.wav,2/28/23 9:41,HMS,Unknown,8/9/2020 1:55:18.5,8/9/2020 1:55:19.5,NA,NA,NA,NA,NA,NA,No HMS vocalizations 8/08/2020,NA,NA,2020-08-09,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200809\20200809_103309.wav,2/28/23 9:58,Anthro,Airplane,8/9/2020 11:41:40.7,8/9/2020 11:41:53.5,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-08-09,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200809\20200809_133308.wav,2/28/23 10:05,Anthro,Airplane,8/9/2020 16:01:02.0,8/9/2020 16:01:09.4,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-08-09,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200809\20200809_163307.wav,2/28/23 10:14,Anthro,Airplane,8/9/2020 17:58:07.4,8/9/2020 17:58:33.3,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-08-09,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200809\20200809_221239.wav,2/28/23 10:32,HMS,Unknown,8/10/2020 0:58:37.3,8/10/2020 0:58:38.3,NA,NA,NA,NA,NA,NA,No HMS vocalizations 8/09/2020,NA,NA,2020-08-10,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200810\20200810_005912 - Copy.wav,2/28/23 10:48,HMS,Unknown,8/10/2020 1:12:34.8,8/10/2020 3:46:55.8,NA,NA,NA,NA,NA,NA,The hydraphone stopped recording?,NA,NA,2020-08-10,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200810\20200810_093125.wav,2/28/23 13:48,Anthro,Airplane,8/10/2020 10:21:51.6,8/10/2020 10:21:59.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-10,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200810\20200810_123124.wav,2/28/23 13:55,Anthro,Airplane,8/10/2020 13:18:58.6,8/10/2020 13:19:15.1,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-08-10,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200810\20200810_182951 - Copy.wav,2/28/23 14:07,Anthro,Airplane,8/10/2020 18:32:19.5,8/10/2020 18:32:27.9,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-08-10,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200810\20200810_211538.wav,2/28/23 14:19,HMS,Unknown,8/11/2020 0:00:59.6,8/11/2020 0:01:00.2,NA,NA,NA,NA,NA,NA,No HMS vocalizations 8/10/2020,NA,NA,2020-08-11,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200811\20200811_142901.wav,2/28/23 15:08,Anthro,Airplane,8/11/2020 16:47:12.9,8/11/2020 16:47:23.7,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-08-11,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200811\20200811_172900.wav,2/28/23 15:08,Anthro,Airplane,8/11/2020 17:41:08.0,8/11/2020 17:41:30.7,NA,NA,NA,NA,NA,NA,Propeller?,NA,NA,2020-08-11,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200811\20200811_230242.wav,3/2/23 9:36,HMS,Unknown,8/12/2020 1:47:40.3,8/12/2020 1:47:41.1,NA,NA,NA,NA,NA,NA,No HMS vocalizations 8/11/2020,NA,NA,2020-08-12,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200812\20200812_220151.wav,3/2/23 10:16,HMS,Unknown,8/13/2020 0:46:47.8,8/13/2020 0:46:50.8,NA,NA,NA,NA,NA,NA,No HMS voclizatiosn 8/12/2020,NA,NA,2020-08-13,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200813\20200813_091440.wav,3/2/23 10:33,Anthro,Airplane,8/13/2020 11:09:48.1,8/13/2020 11:10:01.0,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-08-13,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200813\20200813_234350.wav,3/2/23 11:01,HMS,Unknown,8/14/2020 2:28:48.2,8/14/2020 2:28:48.9,NA,NA,NA,NA,NA,NA,No HMS vocalizations 8/12/2020,NA,NA,2020-08-14,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200814\20200814_051513.wav,3/2/23 11:07,Anthro,Airplane,8/14/2020 5:18:19.6,8/14/2020 5:18:27.7,NA,NA,NA,NA,NA,NA,maybe?,NA,NA,2020-08-14,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200814\20200814_224014.wav,3/2/23 11:42,HMS,Unknown,8/15/2020 1:25:12.8,8/15/2020 1:25:13.4,NA,NA,NA,NA,NA,NA,No HMS vocalizations 8/14/2020,NA,NA,2020-08-15,21.32505,-157.6604,Night
